789
10
0
0
0 1 1 5 33 7 (D 1,1,1) (S 6,12,12) (S 3,6,6) (S 30,6,12) (S 35,12,6) (S 4,7,7) (D 1,1,1)
0 1 2 5 43 7 (D 1,1,1) (S 29,1,12) (S 34,12,1) (S 15,1,7) (S 42,7,6) (S 19,6,7) (D 1,1,1)
0 1 3 5 57 7 (D 1,1,1) (S 37,12,7) (S 14,7,12) (S 36,6,5) (S 2,3,3) (S 27,3,5) (D 1,1,1)
0 1 4 5 35 6 (D 1,1,1) (S 18,1,2) (S 1,2,2) (S 5,9,9) (S 44,9,2) (D 1,1,1)
0 1 5 5 65 7 (D 1,1,1) (S 21,2,9) (S 26,2,4) (S 24,4,11) (S 47,11,4) (S 31,4,2) (D 1,1,1)
0 1 6 5 88 7 (D 1,1,1) (S 8,1,4) (S 41,2,1) (S 11,7,8) (S 23,8,10) (S 46,10,8) (D 1,1,1)
0 1 7 5 113 7 (D 1,1,1) (S 20,1,10) (S 33,10,9) (S 28,9,10) (S 43,10,1) (S 32,5,3) (D 1,1,1)
0 1 8 5 95 7 (D 1,1,1) (S 13,5,6) (S 38,7,1) (S 22,12,11) (S 40,11,5) (S 7,5,12) (D 1,1,1)
0 1 9 5 129 7 (D 1,1,1) (S 12,2,3) (S 9,3,4) (S 39,11,3) (S 17,5,11) (S 45,11,12) (D 1,1,1)
0 1 10 3 131 5 (D 1,1,1) (S 16,3,11) (S 25,0,11) (S 10,0,4) (D 1,1,1)
