704
108
0
0
0 1 1 20 20 3 (D 0,1,1) (S 1,2,2) (D 0,1,1)
0 1 2 6 6 3 (D 0,1,1) (S 2,3,3) (D 0,1,1)
0 1 3 14 14 3 (D 0,1,1) (S 3,5,5) (D 0,1,1)
0 1 4 10 10 3 (D 0,1,1) (S 4,6,6) (D 0,1,1)
0 1 5 4 4 3 (D 0,1,1) (S 5,7,7) (D 0,1,1)
0 1 6 3 3 3 (D 0,1,1) (S 6,8,8) (D 0,1,1)
0 1 7 16 16 3 (D 0,1,1) (S 7,9,9) (D 0,1,1)
0 1 8 11 11 3 (D 0,1,1) (S 8,10,10) (D 0,1,1)
0 1 9 5 5 3 (D 0,1,1) (S 9,11,11) (D 0,1,1)
0 1 10 3 3 3 (D 0,1,1) (S 10,13,13) (D 0,1,1)
0 1 11 5 5 3 (D 0,1,1) (S 11,14,14) (D 0,1,1)
0 1 12 8 8 3 (D 0,1,1) (S 12,15,15) (D 0,1,1)
0 1 13 8 8 3 (D 0,1,1) (S 13,17,17) (D 0,1,1)
0 1 14 15 15 3 (D 0,1,1) (S 14,18,18) (D 0,1,1)
0 1 15 7 7 3 (D 0,1,1) (S 15,19,19) (D 0,1,1)
0 1 16 9 9 3 (D 0,1,1) (S 16,20,20) (D 0,1,1)
0 1 17 11 11 3 (D 0,1,1) (S 17,21,21) (D 0,1,1)
0 1 18 5 5 3 (D 0,1,1) (S 18,22,22) (D 0,1,1)
0 1 19 18 18 3 (D 0,1,1) (S 19,24,24) (D 0,1,1)
0 1 20 10 10 3 (D 0,1,1) (S 20,25,25) (D 0,1,1)
0 1 21 17 17 3 (D 0,1,1) (S 21,26,26) (D 0,1,1)
0 1 22 6 6 3 (D 0,1,1) (S 22,27,27) (D 0,1,1)
0 1 23 5 5 3 (D 0,1,1) (S 23,28,28) (D 0,1,1)
0 1 24 20 20 3 (D 0,1,1) (S 24,29,29) (D 0,1,1)
0 1 25 7 7 3 (D 0,1,1) (S 25,32,32) (D 0,1,1)
0 1 26 24 24 3 (D 0,1,1) (S 26,33,33) (D 0,1,1)
0 1 27 5 5 3 (D 0,1,1) (S 27,34,34) (D 0,1,1)
0 1 28 6 6 3 (D 0,1,1) (S 28,35,35) (D 0,1,1)
0 1 29 4 4 3 (D 0,1,1) (S 29,36,36) (D 0,1,1)
0 1 30 7 7 3 (D 0,1,1) (S 30,37,37) (D 0,1,1)
0 1 31 4 4 3 (D 0,1,1) (S 31,38,38) (D 0,1,1)
0 1 32 4 4 3 (D 0,1,1) (S 32,40,40) (D 0,1,1)
0 1 33 4 4 3 (D 0,1,1) (S 33,41,41) (D 0,1,1)
0 1 34 1 1 3 (D 0,1,1) (S 34,42,42) (D 0,1,1)
0 1 35 20 20 3 (D 0,1,1) (S 35,43,43) (D 0,1,1)
0 1 36 4 4 3 (D 0,1,1) (S 36,44,44) (D 0,1,1)
0 1 37 3 3 3 (D 0,1,1) (S 37,47,47) (D 0,1,1)
0 1 38 13 13 3 (D 0,1,1) (S 38,48,48) (D 0,1,1)
0 1 39 4 4 3 (D 0,1,1) (S 39,49,49) (D 0,1,1)
0 1 40 7 7 3 (D 0,1,1) (S 40,50,50) (D 0,1,1)
0 1 41 3 3 3 (D 0,1,1) (S 41,41,48) (D 0,1,1)
0 1 42 6 6 3 (D 0,1,1) (S 42,36,42) (D 0,1,1)
0 1 43 6 6 3 (D 0,1,1) (S 43,22,23) (D 0,1,1)
0 1 44 9 9 3 (D 0,1,1) (S 44,14,22) (D 0,1,1)
0 1 45 12 12 3 (D 0,1,1) (S 45,27,31) (D 0,1,1)
0 1 46 6 6 3 (D 0,1,1) (S 46,27,30) (D 0,1,1)
0 1 47 8 8 3 (D 0,1,1) (S 47,11,19) (D 0,1,1)
0 1 48 7 7 3 (D 0,1,1) (S 48,20,21) (D 0,1,1)
0 1 49 9 9 3 (D 0,1,1) (S 49,38,45) (D 0,1,1)
0 1 50 4 4 3 (D 0,1,1) (S 50,28,32) (D 0,1,1)
0 1 51 12 12 3 (D 0,1,1) (S 51,20,30) (D 0,1,1)
0 1 52 8 8 3 (D 0,1,1) (S 52,16,17) (D 0,1,1)
0 1 53 6 6 3 (D 0,1,1) (S 53,15,23) (D 0,1,1)
0 1 54 4 4 3 (D 0,1,1) (S 54,40,41) (D 0,1,1)
0 1 55 10 10 3 (D 0,1,1) (S 55,23,31) (D 0,1,1)
0 1 56 7 7 3 (D 0,1,1) (S 56,6,12) (D 0,1,1)
0 1 57 6 6 3 (D 0,1,1) (S 57,43,50) (D 0,1,1)
0 1 58 5 5 3 (D 0,1,1) (S 58,34,35) (D 0,1,1)
0 1 59 2 2 3 (D 0,1,1) (S 59,13,12) (D 0,1,1)
0 1 60 3 3 3 (D 0,1,1) (S 60,10,4) (D 0,1,1)
