2953
19
0
0
0 1 1 35 314 10 (D 1,1,1) (S 4,3,3) (S 8,3,6) (S 1,7,7) (S 7,2,6) (S 3,11,11) (S 12,11,13) (S 9,8,9) (S 15,1,5) (D 1,1,1)
0 1 2 32 186 6 (D 1,1,1) (S 6,1,3) (S 2,13,13) (S 5,8,8) (S 19,8,12) (D 1,1,1)
0 1 3 35 183 5 (D 1,1,1) (S 11,5,10) (S 20,9,13) (S 26,10,6) (D 1,1,1)
0 1 4 30 78 4 (D 1,1,1) (S 30,1,2) (S 38,2,1) (D 1,1,1)
0 1 5 30 88 4 (D 1,1,1) (S 31,1,4) (S 39,4,1) (D 1,1,1)
0 1 6 28 97 4 (D 1,1,1) (S 16,2,3) (S 24,3,2) (D 1,1,1)
0 1 7 30 96 4 (D 1,1,1) (S 32,2,7) (S 40,7,2) (D 1,1,1)
0 1 8 29 111 4 (D 1,1,1) (S 18,6,10) (S 25,10,4) (D 1,1,1)
0 1 9 30 106 4 (D 1,1,1) (S 33,2,8) (S 41,8,2) (D 1,1,1)
0 1 10 30 110 4 (D 1,1,1) (S 34,4,5) (S 42,5,4) (D 1,1,1)
0 1 11 23 144 4 (D 1,1,1) (S 17,4,10) (S 37,10,11) (D 1,1,1)
0 1 12 29 150 4 (D 1,1,1) (S 35,6,12) (S 13,12,13) (D 1,1,1)
0 1 13 30 187 4 (D 1,1,1) (S 23,5,1) (S 36,7,9) (D 1,1,1)
0 1 14 30 188 4 (D 1,1,1) (S 43,12,6) (S 29,12,11) (D 1,1,1)
0 1 15 31 156 4 (D 1,1,1) (S 10,4,11) (S 45,11,10) (D 1,1,1)
0 1 16 30 190 4 (D 1,1,1) (S 27,12,8) (S 28,13,9) (D 1,1,1)
0 1 17 29 204 4 (D 1,1,1) (S 21,11,12) (S 14,0,13) (D 1,1,1)
0 1 18 30 224 4 (D 1,1,1) (S 44,9,7) (S 46,0,10) (D 1,1,1)
0 1 19 15 141 3 (D 1,1,1) (S 22,0,12) (D 1,1,1)
