852
10
0
0
0 1 1 5 27 7 (D 1,1,1) (S 6,12,12) (S 3,6,6) (S 7,6,12) (S 34,12,1) (S 29,1,12) (D 1,1,1)
0 1 2 5 60 7 (D 1,1,1) (S 4,7,7) (S 17,7,12) (S 12,6,7) (S 13,7,8) (S 21,8,10) (D 1,1,1)
0 1 3 5 51 7 (D 1,1,1) (S 11,1,7) (S 2,5,5) (S 1,3,3) (S 8,3,5) (S 26,5,6) (D 1,1,1)
0 1 4 5 96 7 (D 1,1,1) (S 40,12,7) (S 31,6,5) (S 18,5,12) (S 41,12,5) (S 14,5,11) (D 1,1,1)
0 1 5 5 35 6 (D 1,1,1) (S 15,1,2) (S 20,2,9) (S 5,9,9) (S 43,9,2) (D 1,1,1)
0 1 6 5 91 7 (D 1,1,1) (S 9,1,4) (S 46,4,2) (S 23,2,4) (S 32,4,3) (S 39,3,2) (D 1,1,1)
0 1 7 5 82 7 (D 1,1,1) (S 22,1,10) (S 44,10,8) (S 36,8,7) (S 19,8,11) (S 42,11,8) (D 1,1,1)
0 1 8 5 113 7 (D 1,1,1) (S 38,2,1) (S 28,9,11) (S 47,11,10) (S 24,10,11) (S 33,11,9) (D 1,1,1)
0 1 9 5 147 7 (D 1,1,1) (S 16,2,3) (S 27,3,4) (S 30,9,10) (S 35,10,9) (S 37,11,5) (D 1,1,1)
0 1 10 3 150 5 (D 1,1,1) (S 45,10,1) (S 10,0,4) (S 25,0,11) (D 1,1,1)
