199039
99
1
13
0 1 1 1559 2875 18 (D 11,1,1) (S 10,10,10) (S 20,21,21) (S 84,85,85) (S 86,87,87) (S 91,92,92) (S 60,61,61) (S 40,41,41) (S 29,30,30) (S 30,31,31) (S 19,20,20) (S 16,17,17) (S 14,15,15) (S 46,47,47) (S 44,45,45) (S 54,55,55) (S 73,74,74) (D 11,1,1)
0 1 2 1563 2489 12 (D 11,1,1) (S 4,4,4) (S 3,3,3) (S 12,13,13) (S 39,40,40) (S 50,51,51) (S 62,63,63) (S 82,83,83) (S 81,82,82) (S 74,75,75) (S 22,23,23) (D 11,1,1)
0 1 3 1535 2256 10 (D 11,1,1) (S 51,52,52) (S 31,32,32) (S 35,36,36) (S 55,56,56) (S 59,60,60) (S 48,49,49) (S 26,27,27) (S 25,26,26) (D 11,1,1)
0 1 4 1522 2105 8 (D 11,1,1) (S 21,22,22) (S 32,33,33) (S 33,34,34) (S 65,66,66) (S 88,89,89) (S 66,67,67) (D 11,1,1)
0 1 5 1555 2346 8 (D 11,1,1) (S 13,14,14) (S 15,16,16) (S 41,42,42) (S 63,64,64) (S 83,84,84) (S 398,84,83) (D 11,1,1)
0 1 6 1584 2272 7 (D 11,1,1) (S 124,11,2) (S 1,1,1) (S 96,1,2) (S 98,2,1) (S 57,58,58) (D 11,1,1)
0 1 7 1620 2068 7 (D 11,1,1) (S 125,11,10) (S 122,10,11) (S 126,11,12) (S 23,24,24) (S 36,37,37) (D 11,1,1)
0 1 8 1625 2269 7 (D 11,1,1) (S 127,11,22) (S 167,22,33) (S 205,33,22) (S 166,22,23) (S 69,70,70) (D 11,1,1)
0 1 9 1364 1652 6 (D 11,1,1) (S 100,2,11) (S 131,12,23) (S 168,23,12) (S 130,12,13) (D 11,1,1)
0 1 10 1637 2267 7 (D 11,1,1) (S 129,12,11) (S 99,2,3) (S 102,3,4) (S 5,5,5) (S 47,48,48) (D 11,1,1)
0 1 11 1364 1592 6 (D 11,1,1) (S 121,10,1) (S 97,1,10) (S 123,10,21) (S 161,21,10) (D 11,1,1)
0 1 12 1364 1708 6 (D 11,1,1) (S 128,12,3) (S 101,3,2) (S 103,3,12) (S 134,13,14) (D 11,1,1)
0 1 13 1364 1742 6 (D 11,1,1) (S 165,22,21) (S 162,21,22) (S 164,22,11) (S 132,13,4) (D 11,1,1)
0 1 14 1364 1731 6 (D 11,1,1) (S 169,23,22) (S 206,33,32) (S 203,32,33) (S 207,33,34) (D 11,1,1)
0 1 15 1364 1694 6 (D 11,1,1) (S 133,13,12) (S 170,23,24) (S 174,24,25) (S 177,25,24) (D 11,1,1)
0 1 16 1640 2146 7 (D 11,1,1) (S 171,23,34) (S 43,44,44) (S 248,44,55) (S 67,68,68) (S 287,55,44) (D 11,1,1)
0 1 17 1364 1706 6 (D 11,1,1) (S 136,14,13) (S 137,14,15) (S 140,15,14) (S 138,14,25) (D 11,1,1)
0 1 18 1364 1777 6 (D 11,1,1) (S 135,13,24) (S 173,24,23) (S 175,24,35) (S 216,35,44) (D 11,1,1)
0 1 19 1364 1741 6 (D 11,1,1) (S 163,21,32) (S 204,32,52) (S 278,52,72) (S 352,72,52) (D 11,1,1)
