42285
169
0
1
0 1 1 494 494 3 (D 0,1,1) (S 1,1,1) (D 0,1,1)
0 1 2 190 190 3 (D 0,1,1) (S 2,2,2) (D 0,1,1)
0 1 3 318 318 3 (D 0,1,1) (S 3,5,5) (D 0,1,1)
0 1 4 239 239 3 (D 0,1,1) (S 4,6,6) (D 0,1,1)
0 1 5 470 470 3 (D 0,1,1) (S 5,7,7) (D 0,1,1)
0 1 6 277 277 3 (D 0,1,1) (S 6,8,8) (D 0,1,1)
0 1 7 245 245 3 (D 0,1,1) (S 7,11,11) (D 0,1,1)
0 1 8 63 63 3 (D 0,1,1) (S 8,14,14) (D 0,1,1)
0 1 9 433 433 3 (D 0,1,1) (S 9,15,15) (D 0,1,1)
0 1 10 71 71 3 (D 0,1,1) (S 10,18,18) (D 0,1,1)
0 1 11 377 377 3 (D 0,1,1) (S 11,19,19) (D 0,1,1)
0 1 12 59 59 3 (D 0,1,1) (S 12,21,21) (D 0,1,1)
0 1 13 235 235 3 (D 0,1,1) (S 13,24,24) (D 0,1,1)
0 1 14 90 90 3 (D 0,1,1) (S 14,27,27) (D 0,1,1)
0 1 15 235 235 3 (D 0,1,1) (S 15,28,28) (D 0,1,1)
0 1 16 377 377 3 (D 0,1,1) (S 16,30,30) (D 0,1,1)
0 1 17 344 344 3 (D 0,1,1) (S 17,33,33) (D 0,1,1)
0 1 18 229 229 3 (D 0,1,1) (S 18,37,37) (D 0,1,1)
0 1 19 334 334 3 (D 0,1,1) (S 19,39,39) (D 0,1,1)
0 1 20 354 354 3 (D 0,1,1) (S 20,40,40) (D 0,1,1)
0 1 21 363 363 3 (D 0,1,1) (S 21,41,41) (D 0,1,1)
0 1 22 276 276 3 (D 0,1,1) (S 22,42,42) (D 0,1,1)
0 1 23 367 367 3 (D 0,1,1) (S 23,45,45) (D 0,1,1)
0 1 24 309 309 3 (D 0,1,1) (S 24,46,46) (D 0,1,1)
0 1 25 105 105 3 (D 0,1,1) (S 25,47,47) (D 0,1,1)
0 1 26 438 438 3 (D 0,1,1) (S 26,49,49) (D 0,1,1)
0 1 27 232 232 3 (D 0,1,1) (S 27,51,51) (D 0,1,1)
0 1 28 436 436 3 (D 0,1,1) (S 28,52,52) (D 0,1,1)
0 1 29 374 374 3 (D 0,1,1) (S 29,53,53) (D 0,1,1)
0 1 30 447 447 3 (D 0,1,1) (S 30,54,54) (D 0,1,1)
0 1 31 296 296 3 (D 0,1,1) (S 31,58,58) (D 0,1,1)
0 1 32 457 457 3 (D 0,1,1) (S 32,62,62) (D 0,1,1)
0 1 33 114 114 3 (D 0,1,1) (S 33,63,63) (D 0,1,1)
0 1 34 432 432 3 (D 0,1,1) (S 34,66,66) (D 0,1,1)
0 1 35 463 463 3 (D 0,1,1) (S 35,68,68) (D 0,1,1)
0 1 36 390 390 3 (D 0,1,1) (S 36,71,71) (D 0,1,1)
0 1 37 201 220 3 (D 0,1,1) (S 37,1,2) (D 0,1,1)
0 1 38 168 189 3 (D 0,1,1) (S 38,2,3) (D 0,1,1)
0 1 39 298 316 3 (D 0,1,1) (S 39,2,17) (D 0,1,1)
0 1 40 154 192 3 (D 0,1,1) (S 40,3,4) (D 0,1,1)
0 1 41 113 135 3 (D 0,1,1) (S 41,3,18) (D 0,1,1)
